Measure Name,date,avg_weekday_ridership,monthly_total_ridership
4,2007-01-01,1400000.0,37031240.85064902
3,2007-02-01,1486000.0,35493310.87411285
7,2007-03-01,1485000.0,45029736.322916955
0,2007-04-01,1491000.0,36066146.82513069
8,2007-05-01,1474000.0,35464807.004686125
6,2007-06-01,1473000.0,44660759.813033
5,2007-07-01,1391000.0,34312644.85017338
1,2007-08-01,1356000.0,33175484.979042336
11,2007-09-01,1549000.0,45671268.398147546
10,2007-10-01,1531000.0,36994603.488581724
9,2007-11-01,1538000.0,38797066.59651376
2,2007-12-01,1396000.0,39285837.04896327
16,2008-01-01,1379000.0,39242000.0
15,2008-02-01,1476000.0,35150000.0
19,2008-03-01,1519000.0,44924000.0
12,2008-04-01,1446000.0,33965000.0
20,2008-05-01,1479000.0,35357000.0
18,2008-06-01,1459000.0,43944000.0
17,2008-07-01,1444000.0,35532000.0
13,2008-08-01,1434000.0,34919000.0
23,2008-09-01,1574000.0,47629000.0
22,2008-10-01,1520000.0,38162000.0
21,2008-11-01,1600000.0,39630000.0
14,2008-12-01,1484000.0,38246000.0
28,2009-01-01,1448000.0,38164000.0
27,2009-02-01,1536000.0,36772000.0
31,2009-03-01,1487000.0,45583000.0
24,2009-04-01,1499000.0,35620000.0
32,2009-05-01,1517000.0,36377000.0
30,2009-06-01,1467000.0,44292000.0
29,2009-07-01,1435000.0,35386000.0
25,2009-08-01,1328000.0,34056000.0
35,2009-09-01,1586000.0,47842000.0
34,2009-10-01,1578000.0,37945000.0
33,2009-11-01,1568000.0,38732000.0
26,2009-12-01,1424000.0,40464000.0
40,2010-01-01,1474000.0,37403000.0
39,2010-02-01,1538000.0,36780000.0
43,2010-03-01,1489000.0,44902000.0
36,2010-04-01,1500000.0,36178000.0
44,2010-05-01,1530000.0,36823000.0
42,2010-06-01,1492000.0,44980000.0
41,2010-07-01,1473000.0,36427000.0
37,2010-08-01,1412000.0,34479000.0
47,2010-09-01,1615000.0,48479000.0
46,2010-10-01,1622000.0,38956000.0
45,2010-11-01,1541000.0,39174000.0
38,2010-12-01,1457000.0,42776000.0
52,2011-01-01,1540000.0,38249000.0
51,2011-02-01,1595000.0,38043000.0
55,2011-03-01,1568000.0,48174000.0
48,2011-04-01,1539000.0,37900000.0
56,2011-05-01,1602000.0,38786000.0
54,2011-06-01,1579000.0,48086000.0
53,2011-07-01,1528000.0,38128000.0
49,2011-08-01,1449000.0,35277000.0
59,2011-09-01,1689000.0,50446000.0
58,2011-10-01,1678000.0,40463000.0
57,2011-11-01,1639000.0,40661000.0
50,2011-12-01,1583000.0,46006000.0
64,2012-01-01,1599000.0,37936000.0
63,2012-02-01,1643000.0,39251000.0
67,2012-03-01,1613000.0,49555000.0
60,2012-04-01,1614000.0,38949000.0
68,2012-05-01,1609000.0,38951000.0
66,2012-06-01,1627000.0,50362000.0
65,2012-07-01,1528000.0,37384000.0
61,2012-08-01,1515000.0,36753000.0
71,2012-09-01,1727000.0,51614000.0
70,2012-10-01,1712000.0,41339000.0
69,2012-11-01,1716000.0,42202000.0
62,2012-12-01,1655000.0,49711000.0
76,2013-01-01,1606000.0,46045000.0
75,2013-02-01,1702000.0,40655000.0
79,2013-03-01,1672000.0,50204000.0
72,2013-04-01,1650000.0,40766000.0
80,2013-05-01,1661000.0,40114000.0
78,2013-06-01,1670000.0,50389000.0
77,2013-07-01,1564000.0,38989000.0
