Year,Period,TTC Average Weekday Ridership,TTC Monthly Ridership
2007,Apr,1491000.0,
2007,Aug,1356000.0,
2007,Dec,1396000.0,
2007,Feb,1486000.0,
2007,Jan,1400000.0,
2007,Jul,1391000.0,
2007,Jun,1473000.0,
2007,Mar,1485000.0,
2007,May,1474000.0,
2007,Nov,1538000.0,
2007,Oct,1531000.0,
2007,Sep,1549000.0,
2008,Apr,1446000.0,33965000.0
2008,Aug,1434000.0,34919000.0
2008,Dec,1484000.0,38246000.0
2008,Feb,1476000.0,35150000.0
2008,Jan,1379000.0,39242000.0
2008,Jul,1444000.0,35532000.0
2008,Jun,1459000.0,43944000.0
2008,Mar,1519000.0,44924000.0
2008,May,1479000.0,35357000.0
2008,Nov,1600000.0,39630000.0
2008,Oct,1520000.0,38162000.0
2008,Sep,1574000.0,47629000.0
2009,Apr,1499000.0,35620000.0
2009,Aug,1328000.0,34056000.0
2009,Dec,1424000.0,40464000.0
2009,Feb,1536000.0,36772000.0
2009,Jan,1448000.0,38164000.0
2009,Jul,1435000.0,35386000.0
2009,Jun,1467000.0,44292000.0
2009,Mar,1487000.0,45583000.0
2009,May,1517000.0,36377000.0
2009,Nov,1568000.0,38732000.0
2009,Oct,1578000.0,37945000.0
2009,Sep,1586000.0,47842000.0
2010,Apr,1500000.0,36178000.0
2010,Aug,1412000.0,34479000.0
2010,Dec,1457000.0,42776000.0
2010,Feb,1538000.0,36780000.0
2010,Jan,1474000.0,37403000.0
2010,Jul,1473000.0,36427000.0
2010,Jun,1492000.0,44980000.0
2010,Mar,1489000.0,44902000.0
2010,May,1530000.0,36823000.0
2010,Nov,1541000.0,39174000.0
2010,Oct,1622000.0,38956000.0
2010,Sep,1615000.0,48479000.0
2011,Apr,1539000.0,37900000.0
2011,Aug,1449000.0,35277000.0
2011,Dec,1583000.0,46006000.0
2011,Feb,1595000.0,38043000.0
2011,Jan,1540000.0,38249000.0
2011,Jul,1528000.0,38128000.0
2011,Jun,1579000.0,48086000.0
2011,Mar,1568000.0,48174000.0
2011,May,1602000.0,38786000.0
2011,Nov,1639000.0,40661000.0
2011,Oct,1678000.0,40463000.0
2011,Sep,1689000.0,50446000.0
2012,Apr,1614000.0,38949000.0
2012,Aug,1515000.0,36753000.0
2012,Dec,1655000.0,49711000.0
2012,Feb,1643000.0,39251000.0
2012,Jan,1599000.0,37936000.0
2012,Jul,1528000.0,37384000.0
2012,Jun,1627000.0,50362000.0
2012,Mar,1613000.0,49555000.0
2012,May,1609000.0,38951000.0
2012,Nov,1716000.0,42202000.0
2012,Oct,1712000.0,41339000.0
2012,Sep,1727000.0,51614000.0
2013,Apr,1650000.0,40766000.0
2013,Aug,1562000.0,38400000.0
2013,Dec,1567000.0,40957000.0
2013,Feb,1702000.0,40655000.0
2013,Jan,1606000.0,46045000.0
2013,Jul,1564000.0,38989000.0
2013,Jun,1670000.0,50389000.0
2013,Mar,1672000.0,50204000.0
2013,May,1661000.0,40114000.0
2013,Nov,1751000.0,43328000.0
2013,Oct,1760000.0,42301000.0
2013,Sep,1743000.0,53046000.0
2014,Apr,1682000.0,40740000.0
2014,Aug,1582000.0,38795000.0
2014,Dec,1589000.0,43596000.0
2014,Feb,1734000.0,41527000.0
2014,Jan,1651000.0,45612000.0
2014,Jul,1603000.0,39939000.0
2014,Jun,1650000.0,50146000.0
2014,Mar,1665000.0,51320000.0
2014,May,1700000.0,41040000.0
2014,Nov,1831000.0,45322000.0
2014,Oct,1816000.0,43581000.0
2014,Sep,1739000.0,53197000.0
2015,Apr,1711000.0,42045000.0
2015,Aug,1566000.0,38275000.0
2015,Dec,1614000.0,45991000.0
2015,Feb,1739000.0,41682000.0
2015,Jan,1697000.0,45027000.0
2015,Jul,1594000.0,39247000.0
2015,Jun,1640000.0,49881000.0
2015,Mar,1689000.0,50982000.0
2015,May,1722000.0,41505000.0
2015,Nov,1784000.0,44175000.0
2015,Oct,1794000.0,42918000.0
2015,Sep,1717000.0,52277000.0
2016,Apr,1736000.0,42816000.0
2016,Aug,1556000.0,37974000.0
2016,Dec,1607000.0,49037000.0
2016,Feb,1675000.0,40371000.0
2016,Jan,1695000.0,43490000.0
2016,Jul,1653000.0,41274000.0
2016,Jun,1675000.0,51285000.0
2016,Mar,1675000.0,50867000.0
2016,May,1697000.0,41308000.0
2016,Nov,1780000.0,44112000.0
2016,Oct,1788000.0,43064000.0
2016,Sep,1742000.0,52481000.0
2017,Apr,1737000.0,41978000.0
2017,Aug,1572000.0,38144000.0
2017,Dec,1604000.0,49614000.0
2017,Feb,1710000.0,40966000.0
2017,Jan,1653000.0,39606000.0
2017,Jul,1656000.0,40182000.0
2017,Jun,1698000.0,52528000.0
2017,Mar,1685000.0,51768000.0
2017,May,1686000.0,40598000.0
2017,Nov,1753000.0,43080000.0
2017,Oct,1759000.0,42279000.0
2017,Sep,1753000.0,52473000.0
2018,Apr,1689000.0,41302000.0
2018,Aug,1530000.0,37217000.0
2018,Dec,1544000.0,38388000.0
2018,Feb,1731000.0,41112000.0
2018,Jan,1608000.0,47565000.0
2018,Jul,1595000.0,39054000.0
2018,Jun,1710000.0,50966000.0
2018,Mar,1700000.0,50732000.0
2018,May,1679000.0,39941000.0
2018,Nov,1705000.0,52207000.0
2018,Oct,1682000.0,40934000.0
2018,Sep,1754000.0,41986000.0
2019,Apr,1681000.0,39413000.0
2019,Feb,1670000.0,39421000.0
2019,Jan,1625000.0,45792000.0
2019,Jun,1725000.0,51209000.0
2019,Mar,1725000.0,51989000.0
2019,May,1683000.0,39989000.0
